game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
263,1,0,0,1.0,17,7,0,17,5733,1.322896,0.326195,1.649091,0.093813,0.709221,0.0,0.0,8,1.0,600,1
264,2,0,0,1.0,16,7,0,16,5749,1.328972,0.289798,1.61877,0.093813,0.73341,0.0,0.0,8,1.0,600,1
265,1,0,0,1.0,19,7,0,19,5768,1.402528,0.384751,1.787279,0.093813,0.787716,0.0,0.0,8,1.0,600,1
266,2,0,0,1.0,20,7,0,20,5788,1.212525,0.413735,1.62626,0.093813,0.801503,0.0,0.0,8,1.0,600,1
267,1,0,0,1.0,17,7,0,17,5805,1.411388,0.424376,1.835764,0.093813,0.84808,0.0,0.0,8,1.0,600,1
268,2,0,0,1.0,24,7,0,24,5829,1.232844,0.365014,1.597858,0.093813,0.761964,0.0,0.0,8,1.0,600,1
269,1,0,0,1.0,25,7,0,25,5854,1.197988,0.369885,1.567873,0.093813,0.812755,0.0,0.0,8,1.0,600,1
270,1,0,0,1.0,11,5,0,11,5865,1.254119,0.383926,1.638045,0.093813,0.781909,0.0,0.0,8,1.0,600,1
271,1,0,0,1.0,23,8,0,23,5888,1.309473,0.350351,1.659824,0.093813,0.813965,0.0,0.0,8,1.0,600,1
272,2,0,0,1.0,10,4,0,10,5898,1.293531,0.365346,1.658877,0.093813,0.780467,0.0,0.0,8,1.0,600,1
273,1,0,0,1.0,21,7,0,21,5919,1.244611,0.3081,1.55271,0.093813,0.756419,0.0,0.0,8,1.0,600,1
274,2,0,0,1.0,18,7,0,18,5937,1.237235,0.340296,1.577531,0.093813,0.671304,0.0,0.0,8,1.0,600,1
275,1,0,0,1.0,19,8,0,19,5956,1.141263,0.381028,1.52229,0.093813,0.66611,0.0,0.0,8,1.0,600,1
276,1,0,0,1.0,27,8,0,27,5983,1.37179,0.229445,1.601235,0.093813,0.766215,0.0,0.0,8,1.0,600,1
277,1,0,0,1.0,19,7,0,19,6002,1.387985,0.393467,1.781452,0.093813,0.75503,0.0,0.0,8,1.0,600,1
