game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
137,1,1,1,0.3,70,8,0,70,2684,1.233662,0.344915,1.578577,0.171304,0.807489,0.0,0.0,8,1.0,600,1
138,1,0,0,1.0,19,6,0,19,2703,1.504827,0.241624,1.746451,0.171304,0.608734,0.0,0.0,8,1.0,600,1
139,2,0,0,1.0,18,8,0,18,2721,1.46388,0.469356,1.933236,0.171304,0.664348,0.0,0.0,8,1.0,600,1
140,2,0,0,1.0,18,6,0,18,2739,1.385108,0.350771,1.73588,0.171304,0.639955,0.0,0.0,8,1.0,600,1
141,2,0,0,1.0,18,6,0,18,2757,1.396995,0.332728,1.729724,0.171304,0.660731,0.0,0.0,8,1.0,600,1
142,2,0,0,1.0,18,7,0,18,2775,1.460193,0.339353,1.799547,0.171304,0.665554,0.0,0.0,8,1.0,600,1
143,1,0,0,1.0,21,8,0,21,2796,1.38871,0.34969,1.7384,0.171304,0.739089,0.0,0.0,8,1.0,600,1
144,1,0,0,1.0,15,5,0,15,2811,1.433672,0.271803,1.705475,0.171304,0.629271,0.0,0.0,8,1.0,600,1
145,1,0,0,1.0,27,8,0,27,2838,1.404029,0.345318,1.749347,0.171304,0.763371,0.0,0.0,8,1.0,600,1
146,1,0,0,1.0,29,8,0,29,2867,1.46214,0.358937,1.821077,0.171304,0.788498,0.0,0.0,8,1.0,600,1
147,1,0,0,1.0,15,8,0,15,2882,1.377871,0.437157,1.815027,0.171304,0.733667,0.0,0.0,8,1.0,600,1
148,1,0,0,1.0,15,6,0,15,2897,1.407784,0.308186,1.71597,0.171304,0.676349,0.0,0.0,8,1.0,600,1
149,1,0,0,1.0,19,7,0,19,2916,1.418124,0.360942,1.779066,0.171304,0.712943,0.0,0.0,8,1.0,600,1
150,2,0,0,1.0,30,7,0,30,2946,1.424954,0.455711,1.880665,0.171304,0.608347,0.0,0.0,8,1.0,600,1
151,1,0,0,1.0,17,6,0,17,2963,1.50485,0.408226,1.913076,0.171304,0.700579,0.0,0.0,8,1.0,600,1
152,2,0,0,1.0,28,7,0,28,2991,1.537335,0.374853,1.912188,0.171304,0.68036,0.0,0.0,8,1.0,600,1
153,2,1,1,0.3,70,8,0,70,3061,1.409966,0.393282,1.803248,0.171304,0.890508,0.0,0.0,8,1.0,600,1
154,2,0,0,1.0,18,8,0,18,3079,1.462755,0.328195,1.79095,0.171304,0.727694,0.0,0.0,8,1.0,600,1
155,2,0,0,1.0,20,8,0,20,3099,1.390726,0.329787,1.720512,0.171304,0.717863,0.0,0.0,8,1.0,600,1
156,1,0,0,1.0,13,3,0,13,3112,1.419287,0.337238,1.756525,0.171304,0.721202,0.0,0.0,8,1.0,600,1
157,2,0,0,1.0,14,6,0,14,3126,1.377035,0.310313,1.687348,0.171304,0.707608,0.0,0.0,8,1.0,600,1
158,1,0,0,1.0,19,7,0,19,3145,1.325289,0.396372,1.721661,0.171304,0.680608,0.0,0.0,8,1.0,600,1
159,1,0,0,1.0,23,7,0,23,3168,1.418276,0.374584,1.79286,0.171304,0.666763,0.0,0.0,8,1.0,600,1
160,,1,0,0.3,70,8,0,70,3238,1.405848,0.315761,1.721609,0.171304,0.888457,0.0,0.0,8,1.0,600,1
161,1,0,0,1.0,23,7,0,23,3261,1.305231,0.41457,1.719801,0.171304,0.687813,0.0,0.0,8,1.0,600,1
162,1,0,0,1.0,19,8,0,19,3280,1.345232,0.451961,1.797193,0.171304,0.735261,0.0,0.0,8,1.0,600,1
163,1,0,0,1.0,17,7,0,17,3297,1.521684,0.423574,1.945258,0.171304,0.716979,0.0,0.0,8,1.0,600,1
164,1,0,0,1.0,39,8,0,39,3336,1.427003,0.499225,1.926227,0.171304,0.817859,0.0,0.0,8,1.0,600,1
165,1,0,0,1.0,17,6,0,17,3353,1.363439,0.374082,1.73752,0.171304,0.656879,0.0,0.0,8,1.0,600,1
166,2,0,0,1.0,20,6,0,20,3373,1.241931,0.398072,1.640004,0.171304,0.747078,0.0,0.0,8,1.0,600,1
167,2,0,0,1.0,18,6,0,18,3391,1.222523,0.366177,1.5887,0.171304,0.708032,0.0,0.0,8,1.0,600,1
168,2,0,0,1.0,16,5,0,16,3407,1.390406,0.29287,1.683276,0.171304,0.587855,0.0,0.0,8,1.0,600,1
