game,winner,timeout,adjudicated_timeout,target_value_strength,timeout_adjudication_mode,timeout_adjudication_max_value,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
37,1,0,0,1.0,fixed,0.5,17,6,0,17,742,1.393904,0.25681,1.650714,0.118303,0.657468,0.0,0.0,8,1.0,600,1
38,1,0,0,1.0,fixed,0.5,17,7,0,17,759,1.38223,0.165276,1.547506,0.118303,0.672886,0.0,0.0,8,1.0,600,1
39,1,0,0,1.0,fixed,0.5,17,6,0,17,776,1.36623,0.210318,1.576548,0.118303,0.565943,0.0,0.0,8,1.0,600,1
40,2,0,0,1.0,fixed,0.5,20,7,0,20,796,1.353786,0.320297,1.674084,0.118303,0.599332,0.0,0.0,8,1.0,600,1
41,2,0,0,1.0,fixed,0.5,20,7,0,20,816,1.35815,0.244733,1.602883,0.118303,0.689983,0.0,0.0,8,1.0,600,1
42,2,0,0,1.0,fixed,0.5,18,8,0,18,834,1.350188,0.208756,1.558944,0.118303,0.709609,0.0,0.0,8,1.0,600,1
43,2,0,0,1.0,fixed,0.5,22,8,0,22,856,1.348247,0.348731,1.696978,0.118303,0.708605,0.0,0.0,8,1.0,600,1
44,1,0,0,1.0,fixed,0.5,21,7,0,21,877,1.380884,0.218403,1.599288,0.118303,0.701566,0.0,0.0,8,1.0,600,1
45,1,0,0,1.0,fixed,0.5,17,6,0,17,894,1.391222,0.313234,1.704456,0.118303,0.72297,0.0,0.0,8,1.0,600,1
46,2,0,0,1.0,fixed,0.5,20,8,0,20,914,1.322474,0.258047,1.580521,0.118303,0.763523,0.0,0.0,8,1.0,600,1
47,2,0,0,1.0,fixed,0.5,18,8,0,18,932,1.349005,0.349499,1.698504,0.118303,0.71944,0.0,0.0,8,1.0,600,1
48,2,0,0,1.0,fixed,0.5,16,8,0,16,948,1.398443,0.305763,1.704206,0.118303,0.785058,0.0,0.0,8,1.0,600,1
49,2,0,0,1.0,fixed,0.5,28,7,0,28,976,1.368227,0.280351,1.648577,0.118303,0.705581,0.0,0.0,8,1.0,600,1
50,2,0,0,1.0,fixed,0.5,18,7,0,18,994,1.302273,0.384117,1.68639,0.118303,0.658134,0.0,0.0,8,1.0,600,1
51,1,0,0,1.0,fixed,0.5,23,7,0,23,1017,1.387765,0.319681,1.707446,0.118303,0.697539,0.0,0.0,8,1.0,600,1
52,2,0,0,1.0,fixed,0.5,20,8,0,20,1037,1.355051,0.298364,1.653414,0.118303,0.735225,0.0,0.0,8,1.0,600,1
53,2,0,0,1.0,fixed,0.5,20,8,0,20,1057,1.440492,0.34293,1.783422,0.118303,0.749082,0.0,0.0,8,1.0,600,1
54,2,0,0,1.0,fixed,0.5,20,8,0,20,1077,1.445505,0.330855,1.77636,0.118303,0.72813,0.0,0.0,8,1.0,600,1
55,1,0,0,1.0,fixed,0.5,23,8,0,23,1100,1.408049,0.282283,1.690332,0.118303,0.733614,0.0,0.0,8,1.0,600,1
56,2,0,0,1.0,fixed,0.5,28,8,0,28,1128,1.300473,0.33887,1.639343,0.118303,0.684474,0.0,0.0,8,1.0,600,1
57,1,0,0,1.0,fixed,0.5,19,7,0,19,1147,1.175593,0.326448,1.502042,0.118303,0.53642,0.0,0.0,8,1.0,600,1
58,1,0,0,1.0,fixed,0.5,19,8,0,19,1166,1.472378,0.325503,1.79788,0.118303,0.61014,0.0,0.0,8,1.0,600,1
59,2,0,0,1.0,fixed,0.5,28,8,0,28,1194,1.343719,0.325165,1.668884,0.118303,0.704865,0.0,0.0,8,1.0,600,1
60,1,0,0,1.0,fixed,0.5,23,8,0,23,1217,1.326602,0.416777,1.74338,0.118303,0.716702,0.0,0.0,8,1.0,600,1
