game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,num_simulations,mcts_batch_size
953,2,0,0,1.0,22,7,0,22,24496,1.733329,0.396786,2.130116,0.153257,0.669484,200,1
954,2,0,0,1.0,16,6,0,16,24512,1.486746,0.366258,1.853004,0.153257,0.698492,200,1
955,1,1,1,0.1,80,8,0,80,24592,1.64063,0.396181,2.036811,0.153257,0.898178,200,1
956,1,0,0,1.0,17,7,0,17,24609,1.454585,0.435486,1.890072,0.153257,0.515223,200,1
957,2,0,0,1.0,18,7,0,18,24627,1.552794,0.328907,1.881701,0.153257,0.6488,200,1
958,1,1,1,0.1,80,7,0,80,24707,1.444225,0.279981,1.724206,0.153257,0.769786,200,1
959,1,0,0,1.0,19,8,0,19,24726,1.515053,0.355478,1.870531,0.153257,0.552499,200,1
960,1,0,0,1.0,15,6,0,15,24741,1.50914,0.332206,1.841347,0.153257,0.532328,200,1
961,2,0,0,1.0,16,6,0,16,24757,1.502759,0.379966,1.882725,0.153257,0.497173,200,1
962,2,0,0,1.0,18,8,0,18,24775,1.444318,0.296,1.740318,0.153257,0.725572,200,1
963,2,0,0,1.0,14,8,0,14,24789,1.453794,0.372241,1.826035,0.153257,0.56425,200,1
964,2,1,1,0.1,80,7,0,80,24869,1.516719,0.424912,1.941631,0.153257,0.717023,200,1
965,2,0,0,1.0,16,7,0,16,24885,1.537814,0.407917,1.94573,0.153257,0.550251,200,1
966,2,0,0,1.0,18,7,0,18,24903,1.37766,0.313886,1.691546,0.153257,0.669738,200,1
967,2,0,0,1.0,14,6,0,14,24917,1.506207,0.291743,1.79795,0.153257,0.617373,200,1
968,2,0,0,1.0,20,8,0,20,24937,1.487632,0.414699,1.902332,0.153257,0.592211,200,1
969,2,0,0,1.0,24,8,0,24,24961,1.681104,0.366738,2.047842,0.153257,0.652848,200,1
970,1,0,0,1.0,23,8,0,23,24984,1.487337,0.452526,1.939862,0.153257,0.612628,200,1
971,2,0,0,1.0,24,8,0,24,25008,1.297098,0.353597,1.650695,0.153257,0.709799,200,1
972,2,0,0,1.0,16,6,0,16,25024,1.522556,0.387633,1.910188,0.153257,0.561872,200,1
973,2,0,0,1.0,14,4,0,14,25038,1.825703,0.393225,2.218928,0.153257,0.63855,200,1
974,1,0,0,1.0,23,8,0,23,25061,1.463274,0.397828,1.861102,0.153257,0.573301,200,1
975,2,0,0,1.0,20,7,0,20,25081,1.533494,0.403202,1.936695,0.153257,0.660302,200,1
976,1,0,0,1.0,23,8,0,23,25104,1.663463,0.328318,1.991781,0.153257,0.587284,200,1
977,2,0,0,1.0,20,6,0,20,25124,1.471057,0.414551,1.885608,0.153257,0.586683,200,1
978,1,0,0,1.0,17,7,0,17,25141,1.322805,0.366113,1.688918,0.153257,0.580254,200,1
979,2,0,0,1.0,12,7,0,12,25153,1.273198,0.340154,1.613352,0.153257,0.448492,200,1
980,1,0,0,1.0,11,4,0,11,25164,1.505616,0.427622,1.933237,0.153257,0.542257,200,1
981,1,0,0,1.0,27,8,0,27,25191,1.473428,0.431782,1.90521,0.153257,0.685837,200,1
982,2,0,0,1.0,20,7,0,20,25211,1.39886,0.43921,1.83807,0.153257,0.606281,200,1
983,2,1,1,0.1,80,8,0,80,25291,1.518005,0.342939,1.860944,0.153257,0.696357,200,1
984,1,0,0,1.0,27,8,0,27,25318,1.567967,0.288384,1.856352,0.153257,0.689373,200,1
985,1,0,0,1.0,11,7,0,11,25329,1.239821,0.341284,1.581106,0.153257,0.593878,200,1
986,1,0,0,1.0,13,5,0,13,25342,1.762549,0.478906,2.241454,0.153257,0.567839,200,1
987,1,0,0,1.0,23,8,0,23,25365,1.397789,0.31875,1.716539,0.153257,0.70898,200,1
988,2,0,0,1.0,18,7,0,18,25383,1.64662,0.365315,2.011935,0.153257,0.669179,200,1
989,2,0,0,1.0,16,6,0,16,25399,1.560596,0.430901,1.991497,0.153257,0.60804,200,1
990,2,0,0,1.0,26,8,0,26,25425,1.44014,0.282066,1.722206,0.153257,0.668535,200,1
991,2,0,0,1.0,24,8,0,24,25449,1.431877,0.241962,1.673838,0.153257,0.680067,200,1
992,2,0,0,1.0,24,8,0,24,25473,1.760317,0.411502,2.171819,0.153257,0.685302,200,1
993,1,0,0,1.0,23,8,0,23,25496,1.399888,0.422757,1.822645,0.153257,0.67861,200,1
994,1,0,0,1.0,17,7,0,17,25513,1.614479,0.307704,1.922183,0.153257,0.55099,200,1
995,2,0,0,1.0,26,8,0,26,25539,1.411566,0.328437,1.740003,0.153257,0.658678,200,1
996,1,0,0,1.0,23,8,0,23,25562,1.545141,0.416458,1.961599,0.153257,0.724711,200,1
997,2,0,0,1.0,34,7,0,34,25596,1.414631,0.349653,1.764285,0.153257,0.72953,200,1
998,1,0,0,1.0,19,8,0,19,25615,1.451502,0.427274,1.878776,0.153257,0.730759,200,1
999,1,0,0,1.0,19,8,0,19,25634,1.606397,0.366218,1.972615,0.153257,0.685004,200,1
1000,1,0,0,1.0,13,5,0,13,25647,1.643557,0.408998,2.052555,0.153257,0.579049,200,1
1001,1,0,0,1.0,17,7,0,17,25664,1.62639,0.321154,1.947544,0.153257,0.635235,200,1
1002,2,0,0,1.0,22,7,0,22,25686,1.510098,0.280632,1.79073,0.153257,0.63111,200,1
1003,2,0,0,1.0,18,7,0,18,25704,1.462504,0.344147,1.806651,0.153257,0.643216,200,1
1004,2,0,0,1.0,26,8,0,26,25730,1.460089,0.347293,1.807382,0.153257,0.703711,200,1
1005,2,0,0,1.0,32,8,0,32,25762,1.507727,0.309994,1.817721,0.153257,0.720006,200,1
1006,1,0,0,1.0,27,8,0,27,25789,1.566864,0.376364,1.943228,0.153257,0.680625,200,1
1007,1,0,0,1.0,25,7,0,25,25814,1.520523,0.317945,1.838467,0.153257,0.691457,200,1
1008,2,0,0,1.0,18,8,0,18,25832,1.737368,0.419429,2.156797,0.153257,0.636237,200,1
1009,2,0,0,1.0,20,8,0,20,25852,1.641714,0.458721,2.100435,0.153257,0.674121,200,1
1010,2,0,0,1.0,20,8,0,20,25872,1.657112,0.398543,2.055655,0.153257,0.637688,200,1
1011,1,0,0,1.0,19,8,0,19,25891,1.592015,0.373059,1.965075,0.153257,0.760381,200,1
1012,1,0,0,1.0,31,8,0,31,25922,1.412767,0.372893,1.785659,0.153257,0.765278,200,1
1013,1,0,0,1.0,9,5,0,9,25931,1.591007,0.410929,2.001936,0.153257,0.490787,200,1
1014,2,0,0,1.0,18,7,0,18,25949,1.671212,0.412951,2.084163,0.153257,0.632607,200,1
1015,2,0,0,1.0,26,7,0,26,25975,1.63318,0.405076,2.038257,0.153257,0.658098,200,1
1016,2,0,0,1.0,20,8,0,20,25995,1.502238,0.313145,1.815383,0.153257,0.584422,200,1
1017,1,0,0,1.0,19,8,0,19,26014,1.620389,0.378217,1.998606,0.153257,0.693732,200,1
1018,2,0,0,1.0,26,8,0,26,26040,1.34795,0.276279,1.624229,0.153257,0.702744,200,1
1019,2,0,0,1.0,24,8,0,24,26064,1.455392,0.443057,1.898448,0.153257,0.664782,200,1
1020,1,0,0,1.0,17,6,0,17,26081,1.504861,0.460043,1.964903,0.153257,0.588235,200,1
1021,2,0,0,1.0,22,7,0,22,26103,1.653327,0.378006,2.031333,0.153257,0.668342,200,1
1022,1,0,0,1.0,19,7,0,19,26122,1.505062,0.340083,1.845145,0.153257,0.653002,200,1
1023,1,0,0,1.0,15,7,0,15,26137,1.378666,0.317004,1.69567,0.153257,0.521943,200,1
1024,2,0,0,1.0,18,7,0,18,26155,1.28437,0.387284,1.671653,0.153257,0.680905,200,1
1025,1,0,0,1.0,19,8,0,19,26174,1.524211,0.246732,1.770943,0.153257,0.594816,200,1
1026,2,0,0,1.0,18,8,0,18,26192,1.616507,0.354198,1.970706,0.153257,0.641262,200,1
1027,1,0,0,1.0,31,8,0,31,26223,1.387543,0.349888,1.737432,0.153257,0.70676,200,1
1028,2,0,0,1.0,18,7,0,18,26241,1.573504,0.304676,1.878181,0.153257,0.709939,200,1
1029,2,0,0,1.0,20,8,0,20,26261,1.543969,0.395225,1.939195,0.153257,0.692462,200,1
1030,1,0,0,1.0,33,8,0,33,26294,1.411532,0.299378,1.71091,0.153257,0.735343,200,1
1031,1,0,0,1.0,17,7,0,17,26311,1.562244,0.373852,1.936096,0.153257,0.534732,200,1
1032,2,0,0,1.0,24,8,0,24,26335,1.465369,0.396824,1.862193,0.153257,0.634003,200,1
1033,1,0,0,1.0,11,5,0,11,26346,1.622164,0.477449,2.099613,0.153257,0.528095,200,1
1034,2,0,0,1.0,16,6,0,16,26362,1.68343,0.396447,2.079877,0.153257,0.603015,200,1
1035,2,1,1,0.1,80,7,0,80,26442,1.831058,0.377802,2.20886,0.153257,0.772236,200,1
1036,2,0,0,1.0,48,8,0,48,26490,1.440695,0.302023,1.742718,0.153257,0.695247,200,1
1037,2,0,0,1.0,18,7,0,18,26508,1.53104,0.415263,1.946304,0.153257,0.567839,200,1
1038,1,1,1,0.1,80,8,0,80,26588,1.581939,0.418779,2.000718,0.153257,0.784862,200,1
1039,1,0,0,1.0,11,5,0,11,26599,1.492792,0.429852,1.922644,0.153257,0.538602,200,1
1040,1,0,0,1.0,19,8,0,19,26618,1.321169,0.332937,1.654106,0.153257,0.613594,200,1
1041,2,0,0,1.0,18,8,0,18,26636,1.46051,0.359576,1.820086,0.153257,0.649358,200,1
1042,2,1,1,0.1,80,7,0,80,26716,1.572476,0.353568,1.926043,0.153257,0.856156,200,1
1043,2,0,0,1.0,20,8,0,20,26736,1.684161,0.458206,2.142367,0.153257,0.647236,200,1
1044,2,0,0,1.0,22,8,0,22,26758,1.544547,0.319727,1.864274,0.153257,0.692097,200,1
1045,1,0,0,1.0,19,7,0,19,26777,1.483954,0.385523,1.869477,0.153257,0.645332,200,1
1046,2,0,0,1.0,18,8,0,18,26795,1.576001,0.371782,1.947783,0.153257,0.679788,200,1
1047,2,0,0,1.0,16,6,0,16,26811,1.491833,0.341693,1.833526,0.153257,0.668656,200,1
1048,2,0,0,1.0,16,7,0,16,26827,1.688213,0.393656,2.081869,0.153257,0.585427,200,1
1049,1,0,0,1.0,19,7,0,19,26846,1.480767,0.395508,1.876276,0.153257,0.663581,200,1
1050,1,0,0,1.0,11,4,0,11,26857,1.518194,0.405844,1.924038,0.153257,0.499315,200,1
1051,2,0,0,1.0,20,7,0,20,26877,1.590182,0.350752,1.940934,0.153257,0.639196,200,1
1052,2,0,0,1.0,16,7,0,16,26893,1.448681,0.355126,1.803807,0.153257,0.500942,200,1
1053,2,1,1,0.1,80,8,0,80,26973,1.369818,0.409945,1.779763,0.153257,0.682977,200,1
1054,2,0,0,1.0,16,8,0,16,26989,1.626225,0.401232,2.027457,0.153257,0.674937,200,1
1055,1,0,0,1.0,23,7,0,23,27012,1.417183,0.373197,1.790381,0.153257,0.648897,200,1
1056,2,0,0,1.0,16,8,0,16,27028,1.572135,0.485761,2.057897,0.153257,0.642588,200,1
1057,1,0,0,1.0,9,5,0,9,27037,1.539585,0.369459,1.909044,0.153257,0.436628,200,1
1058,2,0,0,1.0,12,6,0,12,27049,1.585146,0.43485,2.019995,0.153257,0.493719,200,1
1059,2,0,0,1.0,24,8,0,24,27073,1.555896,0.414928,1.970824,0.153257,0.625209,200,1
